TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11	TCGA.AC.A2FF.11	TCGA.A1.A0SK.01	TCGA.A1.A0SP.01	TCGA.A2.A04P.01	TCGA.A2.A04Q.01	TCGA.A2.A04T.01	TCGA.A2.A04U.01	TCGA.A2.A0CM.01	TCGA.A2.A0D0.01	TCGA.A2.A0D2.01	TCGA.A2.A0ST.01	TCGA.A2.A0SX.01
ABCC6P1	6.3492	18.8058	12.7291	30.4124	34.1529	57.9255	37.8203	1.0734	12.0273	3.6328	4.4122	0	0	0	0	2.5977	0	0.4119	0	0.8555	0
ABCC6P2	22.8571	61.307	70.7739	11.8557	65.3784	67.3552	41.0736	11.8079	27.0614	11.7369	5.3577	4.0131	38.9004	1.5426	3.1296	10.391	3.6922	17.71	2.9569	9.8385	6.1015
ABCC8	307.3016	68.4532	5.0916	2.5773	96.116	38.617	4.0667	20.0376	33.6765	440.1322	261.8973	9.1208	1.0373	26.9958	0	0	0	0	3.6962	11.9773	1.6057
ABCC9	268.254	510.3902	3597.7597	3332.9897	2049.6607	956.4436	5119.5608	1234.4575	865.0641	205.1156	69.6502	118.205	162.8631	413.8064	53.5512	54.5525	143.0714	16.8863	98.3182	159.9829	288.0539
ABCD1	243.8095	653.6906	565.6823	810.8247	370.3148	389.762	644.9776	162.0896	216.1909	227.4715	214.9385	184.2393	515.0415	603.548	666.9564	141.3171	1302.4114	1418.8633	409.5361	437.1725	257.2254
ABCD2	26.3492	227.9267	1258.1466	617.5258	1238.7738	712.6179	3309.0687	123.4457	187.9267	27.9449	1.2606	16.0525	35.2697	70.9603	23.2983	1.5586	27.6912	2.883	9.9797	83.8413	76.7502
ABCD3	3005.7143	1226.8923	1147.1487	939.1753	1444.1789	1125.7297	1340.7889	1414.08	1365.4001	1949.4365	1289.3161	1703.3929	969.917	883.1469	1929.5836	1404.8578	1056.4209	1299.4234	2059.1388	1128.4355	1637.7649
ABCD4	790.1587	759.3794	661.4053	808.7629	708.9162	756.6233	786.4986	554.9691	816.6542	627.0836	468.6417	247.7198	413.3817	401.4655	221.8552	486.2969	259.3746	277.5947	256.8841	464.5492	429.3513
ABCE1	1261.2698	1050.4937	1162.4236	1222.6804	1349.0388	1304.8945	1370.4758	1947.2225	1384.6438	1877.8975	3127.0091	3079.533	2543.0498	2262.2445	2644.5275	2708.9232	2809.7381	1963.3443	4494.9178	2003.636	1973.6673
ABCF1	1614.2857	1677.8561	1554.9898	1344.8454	1260.7292	1289.1783	1132.9809	1043.7427	1398.4752	1707.9925	2586.196	2337.8329	2168.0498	2796.7605	3443.2757	1893.2329	2676.3586	1980.6425	3710.9592	2222.65	2305.395
ABCF2	1416.1905	1202.0686	1101.3238	1063.4021	1216.8183	1042.2093	802.3587	1121.0305	1132.6717	1487.5072	1425.78	2571.6892	1181.0166	1667.5665	2169.1733	1819.4571	1663.7822	4050.659	3495.4722	1766.656	1329.4798
ABCF3	1116.8254	1102.0216	942.9735	706.1856	786.492	863.9425	627.4908	562.4832	832.2897	902.0615	494.7999	1642.1014	1837.1369	1208.6386	1059.5497	1236.5242	1520.7107	2101.318	1425.2449	1020.2117	1287.7328
ABCG1	507.619	725.1528	281.5682	948.4536	703.5493	548.7203	532.3302	623.6694	660.9006	661.7353	1530.4129	419.9197	256.7427	603.1624	434.3215	392.2587	319.3723	163.0972	289.7801	701.957	476.5575
ABCG2	229.2063	179.4076	146.1303	200	141.9784	179.1648	218.7881	351.7309	255.2796	274.1395	25.2127	40.4962	66.9087	67.1037	7.3024	29.0947	15.2302	3.7068	22.177	83.8413	22.8003
ABCG4	5.0794	3.0089	2.5458	2.5773	4.3911	4.4903	3.66	2.5047	3.9089	3.9123	6.3032	1.0945	3.112	0.7713	1.3909	3.6368	0.923	3.2949	0.7392	0	2.2479
ABCG5	1.2698	1.8806	1.0183	0.5155	2.4395	3.1432	8.1334	4.2938	2.4055	0.8383	3.4668	1.4593	3.112	0.3857	0	43.1225	1.8461	1.2356	0.3696	0	1.2845
ABCG8	0	2.2567	1.0183	12.3711	0	0	16.2668	1.4313	3.0068	0	1.2606	1.0945	0	0	0	14.5473	0	0.4119	0	0	0.3211
ABHD1	26.3492	35.7311	41.7515	54.6392	89.7733	46.6996	125.6608	24.3313	35.7812	7.5451	2.2061	4.378	4.668	9.6413	2.7819	19.2233	3.2306	24.7117	1.4785	7.6997	12.8452
ABHD10	646.9841	665.3503	674.1344	565.9794	687.4487	667.7144	639.2843	827.6232	669.9211	696.6665	600.3782	797.1543	821.0581	577.3236	532.7306	1073.9057	592.5926	708.8138	506.3759	553.9514	521.8369
ABHD11	685.0794	601.0343	150.7128	170.1031	262.0014	434.6655	176.0878	325.9683	317.2202	586.5635	224.7085	1211.6016	2276.971	1062.4759	1125.2717	710.7417	872.2741	738.4679	503.7886	650.6256	603.7251
